inlines,xlines,samples,operator,avg_peak_memory_usage
200,300,500,gaussian-filter,0.33045501708984376
200,300,500,gst3d,6.79345474243164
200,300,600,envelope,1.0415428161621094
200,300,600,gaussian-filter,0.3752891540527344
200,300,600,gst3d,8.135801696777344
200,300,700,envelope,1.1990020751953125
200,300,700,gaussian-filter,0.4200653076171875
200,300,700,gst3d,9.477536010742188
200,300,800,envelope,1.3556602478027344
200,300,800,gaussian-filter,0.4648887634277344
200,300,800,gst3d,10.820722198486328
200,400,100,envelope,0.3102569580078125
200,400,100,gaussian-filter,0.16683502197265626
200,400,100,gst3d,1.8973052978515625
200,400,200,envelope,0.5151741027832031
200,400,200,gaussian-filter,0.22613983154296874
200,400,200,gst3d,3.6586235046386717
200,400,300,envelope,0.7252204895019532
200,400,300,gaussian-filter,0.2859321594238281
200,400,300,gst3d,5.451582336425782
200,400,400,envelope,0.9330696105957031
200,400,400,gaussian-filter,0.34540634155273436
200,400,400,gst3d,7.243242645263672
200,400,500,envelope,1.1423255920410156
200,400,500,gaussian-filter,0.40529327392578124
200,400,500,gst3d,9.036620330810546
200,400,600,envelope,1.3536567687988281
200,400,600,gaussian-filter,0.4649169921875
200,400,600,gst3d,10.82928009033203
200,400,700,envelope,1.5637031555175782
200,400,700,gaussian-filter,0.5245697021484375
200,400,700,gst3d,12.62121353149414
200,400,800,envelope,1.7715805053710938
200,400,800,gaussian-filter,0.5840065002441406
200,400,800,gst3d,14.414624786376953
200,500,100,envelope,0.35908203125
200,500,100,gaussian-filter,0.18166427612304686
200,500,100,gst3d,2.3076812744140627
200,500,200,envelope,0.6165794372558594
200,500,200,gaussian-filter,0.2561820983886719
200,500,200,gst3d,4.551160430908203
200,500,300,envelope,0.8815742492675781
200,500,300,gaussian-filter,0.3305931091308594
200,500,300,gst3d,6.793356323242188
200,500,400,envelope,1.1439384460449218
200,500,400,gaussian-filter,0.40512771606445314
200,500,400,gst3d,9.036388397216797
200,500,500,envelope,1.4054931640625
200,500,500,gaussian-filter,0.47957916259765626
200,500,500,gst3d,11.278992462158204
200,500,600,envelope,1.6662818908691406
200,500,600,gaussian-filter,0.5540992736816406
200,500,600,gst3d,13.521865081787109
200,500,700,envelope,1.928985595703125
200,500,700,gaussian-filter,0.6286834716796875
200,500,700,gst3d,15.764328002929688
200,500,800,envelope,2.1904006958007813
200,500,800,gaussian-filter,0.7030616760253906
200,500,800,gst3d,18.007381439208984
200,600,100,envelope,0.4102027893066406
200,600,100,gaussian-filter,0.19641647338867188
200,600,100,gst3d,2.749711608886719
200,600,200,envelope,0.7250587463378906
200,600,200,gaussian-filter,0.28589630126953125
200,600,200,gst3d,5.442675018310547
200,600,300,envelope,1.0357643127441407
200,600,300,gaussian-filter,0.3751106262207031
200,600,300,gst3d,8.135667419433593
200,600,400,envelope,1.3534744262695313
200,600,400,gaussian-filter,0.4648139953613281
200,600,400,gst3d,10.828904724121093
200,600,500,envelope,1.6686744689941406
200,600,500,gaussian-filter,0.5542022705078125
200,600,500,gst3d,13.521885681152344
200,600,600,envelope,1.9833267211914063
200,600,600,gaussian-filter,0.6437553405761719
200,600,600,gst3d,16.214524841308595
200,600,700,envelope,2.295262908935547
200,600,700,gaussian-filter,0.732958984375
200,600,700,gst3d,18.90764923095703
200,600,800,envelope,2.6078109741210938
200,600,800,gaussian-filter,0.8225395202636718
200,600,800,gst3d,21.600894165039062
200,700,100,envelope,0.4706733703613281
200,700,100,gaussian-filter,0.21157913208007811
200,700,100,gst3d,3.1916412353515624
200,700,200,envelope,0.8285606384277344
200,700,200,gaussian-filter,0.31587982177734375
200,700,200,gst3d,6.334980773925781
200,700,300,envelope,1.194403839111328
200,700,300,gaussian-filter,0.420123291015625
200,700,300,gst3d,9.478040313720703
200,700,400,envelope,1.5641807556152343
200,700,400,gaussian-filter,0.524346923828125
200,700,400,gst3d,12.621207427978515
200,700,500,envelope,1.9295974731445313
200,700,500,gaussian-filter,0.6286308288574218
200,700,500,gst3d,15.764434051513671
200,700,600,envelope,2.292645263671875
200,700,600,gaussian-filter,0.7330848693847656
200,700,600,gst3d,18.907795715332032
200,700,700,envelope,2.659137725830078
200,700,700,gaussian-filter,0.837200927734375
200,700,700,gst3d,22.050765228271484
200,700,800,envelope,3.0255050659179688
200,700,800,gaussian-filter,0.9416069030761719
200,700,800,gst3d,25.19467544555664
200,800,100,envelope,0.5191680908203125
200,800,100,gaussian-filter,0.2263031005859375
200,800,100,gst3d,3.6332611083984374
200,800,200,envelope,0.9307365417480469
200,800,200,gaussian-filter,0.3455192565917969
200,800,200,gst3d,7.227618408203125
200,800,300,envelope,1.3545402526855468
200,800,300,gaussian-filter,0.46486892700195315
200,800,300,gst3d,10.819906616210938
200,800,400,envelope,1.773394775390625
200,800,400,gaussian-filter,0.5840309143066407
200,800,400,gst3d,14.414459228515625
200,800,500,envelope,2.1889434814453126
200,800,500,gaussian-filter,0.7028076171875
200,800,500,gst3d,18.00752182006836
200,800,600,envelope,2.6055252075195314
200,800,600,gaussian-filter,0.822515869140625
200,800,600,gst3d,21.60034637451172
200,800,700,envelope,3.024976348876953
200,800,700,gaussian-filter,0.9415977478027344
200,800,700,gst3d,25.19474105834961
200,800,800,envelope,3.4390029907226562
200,800,800,gaussian-filter,1.060796356201172
200,800,800,gst3d,28.788026428222658
300,100,100,envelope,0.18196029663085939
300,100,100,gaussian-filter,0.12953948974609375
300,100,100,gst3d,0.771038818359375
300,100,200,envelope,0.2555519104003906
300,100,200,gaussian-filter,0.15194625854492189
300,100,200,gst3d,1.4477256774902343
300,100,300,envelope,0.3373588562011719
300,100,300,gaussian-filter,0.17401123046875
300,100,300,gst3d,2.088836669921875
