inlines,xlines,samples,operator,avg_peak_memory_usage,volume,inlines_x_xlines,inlines_x_samples,xlines_x_samples,diagonal_length,surface_area,log_inlines,log_xlines,log_samples,log_volume,inline_to_xlines_ratio,inlines_to_samples_ratio,xlines_to_samples_ratio,inlines_to_total_ratio,xlines_to_total_ratio,samples_to_total_ratio,mean_inlines_xlines,std_inlines_xlines,quadratic_interaction,log_volume_x_log_diagonal
100,300,700,gst3d,4.748719024658203,21000000,30000,70000,210000,768.1145747868608,620000,6.643856189774724,8.228818690495881,9.451211111832329,24.323885992102934,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.09090909090909091,0.2727272727272727,0.6363636363636364,200.0,229.13936293319264,441000000000000,161.6380589419447
100,300,800,envelope,0.725079345703125,24000000,30000,80000,240000,860.2325267042627,700000,6.643856189774724,8.228818690495881,9.643856189774725,24.516531070045332,0.3333333333333333,0.125,0.375,0.08333333333333333,0.25,0.6666666666666666,200.0,229.13936293319264,576000000000000,165.691654076216
100,300,800,gaussian-filter,0.28605194091796876,24000000,30000,80000,240000,860.2325267042627,700000,6.643856189774724,8.228818690495881,9.643856189774725,24.516531070045332,0.3333333333333333,0.125,0.375,0.08333333333333333,0.25,0.6666666666666666,200.0,229.13936293319264,576000000000000,165.691654076216
100,300,800,gst3d,5.4136192321777346,24000000,30000,80000,240000,860.2325267042627,700000,6.643856189774724,8.228818690495881,9.643856189774725,24.516531070045332,0.3333333333333333,0.125,0.375,0.08333333333333333,0.25,0.6666666666666666,200.0,229.13936293319264,576000000000000,165.691654076216
100,400,100,envelope,0.20528564453125,4000000,40000,10000,40000,424.26406871192853,180000,6.643856189774724,8.643856189774725,6.643856189774724,21.931568569324174,0.25,1.0,4.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,250.0,229.13936293319264,16000000000000,132.7454312843676
100,400,100,gaussian-filter,0.13705368041992189,4000000,40000,10000,40000,424.26406871192853,180000,6.643856189774724,8.643856189774725,6.643856189774724,21.931568569324174,0.25,1.0,4.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,250.0,229.13936293319264,16000000000000,132.7454312843676
100,400,100,gst3d,0.9938529968261719,4000000,40000,10000,40000,424.26406871192853,180000,6.643856189774724,8.643856189774725,6.643856189774724,21.931568569324174,0.25,1.0,4.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,250.0,229.13936293319264,16000000000000,132.7454312843676
100,400,200,envelope,0.30872039794921874,8000000,40000,20000,80000,458.257569495584,280000,6.643856189774724,8.643856189774725,7.643856189774724,22.931568569324174,0.25,0.5,2.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,250.0,229.13936293319264,64000000000000,140.56159967960087
100,400,200,gaussian-filter,0.16650314331054689,8000000,40000,20000,80000,458.257569495584,280000,6.643856189774724,8.643856189774725,7.643856189774724,22.931568569324174,0.25,0.5,2.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,250.0,229.13936293319264,64000000000000,140.56159967960087
100,400,200,gst3d,1.8971420288085938,8000000,40000,20000,80000,458.257569495584,280000,6.643856189774724,8.643856189774725,7.643856189774724,22.931568569324174,0.25,0.5,2.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,250.0,229.13936293319264,64000000000000,140.56159967960087
100,400,300,envelope,0.4128509521484375,12000000,40000,30000,120000,509.9019513592785,380000,6.643856189774724,8.643856189774725,8.228818690495881,23.516531070045332,0.25,0.3333333333333333,1.3333333333333333,0.125,0.5,0.375,250.0,229.13936293319264,144000000000000,146.65326654122597
100,400,300,gaussian-filter,0.1964111328125,12000000,40000,30000,120000,509.9019513592785,380000,6.643856189774724,8.643856189774725,8.228818690495881,23.516531070045332,0.25,0.3333333333333333,1.3333333333333333,0.125,0.5,0.375,250.0,229.13936293319264,144000000000000,146.65326654122597
100,400,300,gst3d,2.7548538208007813,12000000,40000,30000,120000,509.9019513592785,380000,6.643856189774724,8.643856189774725,8.228818690495881,23.516531070045332,0.25,0.3333333333333333,1.3333333333333333,0.125,0.5,0.375,250.0,229.13936293319264,144000000000000,146.65326654122597
100,400,400,envelope,0.5151748657226562,16000000,40000,40000,160000,574.4562646538029,480000,6.643856189774724,8.643856189774725,8.643856189774725,23.931568569324174,0.25,0.25,1.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,250.0,229.13936293319264,256000000000000,152.08902460525113
100,400,400,gaussian-filter,0.2262176513671875,16000000,40000,40000,160000,574.4562646538029,480000,6.643856189774724,8.643856189774725,8.643856189774725,23.931568569324174,0.25,0.25,1.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,250.0,229.13936293319264,256000000000000,152.08902460525113
100,400,400,gst3d,3.6411361694335938,16000000,40000,40000,160000,574.4562646538029,480000,6.643856189774724,8.643856189774725,8.643856189774725,23.931568569324174,0.25,0.25,1.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,250.0,229.13936293319264,256000000000000,152.08902460525113
100,400,500,envelope,0.620849609375,20000000,40000,50000,200000,648.074069840786,580000,6.643856189774724,8.643856189774725,8.965784284662087,24.253496664211536,0.25,0.2,0.8,0.1,0.4,0.5,250.0,229.13936293319264,400000000000000,157.05465366776156
100,400,500,gaussian-filter,0.256072998046875,20000000,40000,50000,200000,648.074069840786,580000,6.643856189774724,8.643856189774725,8.965784284662087,24.253496664211536,0.25,0.2,0.8,0.1,0.4,0.5,250.0,229.13936293319264,400000000000000,157.05465366776156
100,400,500,gst3d,4.529179382324219,20000000,40000,50000,200000,648.074069840786,580000,6.643856189774724,8.643856189774725,8.965784284662087,24.253496664211536,0.25,0.2,0.8,0.1,0.4,0.5,250.0,229.13936293319264,400000000000000,157.05465366776156
