,avg_peak_memory_usage
625,0.19643936157226563
628,0.2859931945800781
631,0.37521896362304685
634,0.4646728515625
637,0.5541107177734375
640,0.6437286376953125
643,0.732928466796875
646,0.82255859375
649,0.226287841796875
652,0.34554367065429686
655,0.4647377014160156
658,0.5838859558105469
661,0.7030738830566406
664,0.8225273132324219
667,0.9416244506835938
670,1.0607322692871093
673,0.25625152587890626
676,0.4051704406738281
679,0.5539962768554687
682,0.7030128479003906
685,0.8522796630859375
688,1.0012519836425782
691,1.1503166198730468
694,1.2992256164550782
697,0.2859527587890625
700,0.4647979736328125
703,0.6436752319335938
706,0.8225914001464844
709,1.0012619018554687
712,1.1801620483398438
715,1.3589485168457032
718,1.5378242492675782
721,0.3158088684082031
724,0.5244422912597656
727,0.7330162048339843
730,0.9413475036621094
733,1.1503501892089845
736,1.3589019775390625
739,1.5675384521484375
742,1.7760162353515625
745,0.34547882080078124
748,0.5839973449707031
751,0.8224624633789063
754,1.0607192993164063
757,1.2992233276367187
760,1.5377685546875
763,1.7760269165039062
766,2.0144554138183595
769,0.14416046142578126
772,0.18178634643554686
775,0.21876602172851561
778,0.25608139038085936
781,0.2933952331542969
784,0.33080902099609377
787,0.36808013916015625
790,0.4051841735839844
793,0.18171615600585939
796,0.25618515014648435
799,0.330670166015625
802,0.40498886108398435
805,0.4797187805175781
808,0.5541999816894532
811,0.6286880493164062
814,0.7030364990234375
817,0.21872329711914062
820,0.3306755065917969
823,0.44254531860351565
826,0.5540794372558594
829,0.6659889221191406
832,0.7778816223144531
835,0.8894683837890625
838,1.0013214111328126
841,0.256170654296875
844,0.4050773620605469
847,0.5540367126464844
850,0.703125
853,0.8523384094238281
856,1.0014045715332032
859,1.150311279296875
862,1.2992134094238281
865,0.29317474365234375
868,0.4795951843261719
871,0.6660476684570312
874,0.8522552490234375
877,1.0382049560546875
880,1.2247756958007812
883,1.4110588073730468
886,1.5974876403808593
889,0.33060302734375
892,0.5540237426757812
895,0.7778114318847656
898,1.0012550354003906
901,1.2246253967285157
904,1.4483154296875
907,1.6719322204589844
910,1.8952987670898438
913,0.3678680419921875
916,0.6285072326660156
919,0.8894294738769531
922,1.1501853942871094
925,1.410895538330078
928,1.6719245910644531
931,1.9324958801269532
934,2.1932655334472657
937,0.40506439208984374
940,0.7031326293945312
943,1.0011146545410157
946,1.2992271423339843
949,1.5973663330078125
952,1.8954437255859375
955,2.1933670043945312
958,2.491524505615234
961,0.1519561767578125
964,0.19644622802734374
967,0.24110946655273438
970,0.2860565185546875
973,0.3308013916015625
976,0.37527923583984374
979,0.4201499938964844
982,0.464892578125
985,0.19646682739257812
988,0.2860557556152344
991,0.37526397705078124
994,0.46489715576171875
997,0.5541847229003907
1000,0.6437019348144531
1003,0.7329757690429688
1006,0.8225570678710937
1009,0.24120025634765624
1012,0.3753997802734375
1015,0.5095329284667969
1018,0.6437271118164063
1021,0.7778923034667968
1024,0.9116554260253906
1027,1.0459365844726562
1030,1.1800849914550782
1033,0.2860565185546875
1036,0.4648956298828125
1039,0.6437850952148437
1042,0.8225563049316407
1045,1.0012321472167969
1048,1.1801002502441407
1051,1.3589195251464843
1054,1.5377685546875
1057,0.3307319641113281
1060,0.5541305541992188
1063,0.7778251647949219
1066,1.00123291015625
1069,1.2247840881347656
1072,1.448162841796875
1075,1.6718841552734376
1078,1.8952987670898438
1081,0.37528305053710936
1084,0.6438232421875
1087,0.9116775512695312
1090,1.180091094970703
1093,1.4481727600097656
1096,1.7165420532226563
1099,1.9845947265625
1102,2.2529678344726562
1105,0.4199653625488281
1108,0.7330162048339843
1111,1.0459205627441406
1114,1.3589126586914062
