inlines,xlines,samples,chunking_mode,avg_exec_time_sec,median_exec_time_sec,avg_total_peak_memory_bytes,median_total_peak_memory_bytes,total_runs,oom_count,oom_ratio
300,100,300,auto,16.985932641559177,16.542197465896606,2709290097.7777777,2638897152.0,10,1,0.1
300,100,300,evenly_split,16.80333481894599,16.81574296951294,2693430385.7777777,2650214400.0,10,1,0.1
300,100,300,memaware,34.48811159531275,34.19132089614868,1801278464.0,1498206208.0,12,0,0.0
300,100,400,auto,22.33800522486369,22.553545236587524,3505415054.2222223,3445252096.0,10,1,0.1
300,100,400,evenly_split,21.17255375120375,20.86437511444092,3497704106.6666665,3423039488.0,10,1,0.1
300,100,400,memaware,43.470178147157036,41.624117732048035,1915204266.6666667,1635579904.0,12,0,0.0
300,200,100,auto,13.439084649085999,12.658292770385742,2151605589.3333335,2008346624.0,12,0,0.0
300,200,100,evenly_split,13.036190112431845,12.349714636802673,2149103274.6666665,2053330944.0,12,0,0.0
300,200,100,memaware,22.80045062303543,23.626465916633606,1572980053.3333333,1393766400.0,12,0,0.0
300,200,200,auto,21.940524207221138,21.779075860977173,3532067726.2222223,3578798080.0,10,1,0.1
300,200,200,evenly_split,21.75331038898892,20.610860347747803,3546708650.6666665,3526635520.0,10,1,0.1
300,200,200,memaware,44.747318943341575,43.2635418176651,1937153024.0,1670875136.0,12,0,0.0
300,200,300,auto,29.264573057492573,28.993603348731995,4955328512.0,4946481152.0,8,2,0.25
300,200,300,evenly_split,29.640668312708538,29.087963581085205,4945464661.333333,4955148288.0,8,2,0.25
300,200,300,memaware,64.55888436237971,62.30945682525635,2148686848.0,1877618688.0,12,0,0.0
300,200,400,auto,38.14085157712301,37.83597528934479,6525822976.0,6520346624.0,8,2,0.25
300,200,400,evenly_split,37.43254013856252,37.52521014213562,6531248810.666667,6533445632.0,8,2,0.25
300,200,400,memaware,83.43491880098979,80.51645684242249,2356356096.0,2094901248.0,12,0,0.0
300,300,100,auto,16.149675581190323,15.971866369247437,2682284259.5555553,2618691584.0,10,1,0.1
300,300,100,evenly_split,16.598352856106228,16.94872546195984,2707077347.5555553,2632888320.0,10,1,0.1
300,300,100,memaware,33.95883584022522,32.579275488853455,1792529408.0,1523445760.0,12,0,0.0
300,300,200,auto,28.67186188697815,28.749266624450684,4938942464.0,4950118400.0,8,2,0.25
300,300,200,evenly_split,28.48072103659312,28.487240195274353,4940183552.0,4941744128.0,8,2,0.25
300,300,200,memaware,61.94621572891871,57.43096888065338,2154468010.6666665,1890648064.0,12,0,0.0
300,300,300,auto,42.239193081855774,42.645368337631226,7322600789.333333,7319996416.0,8,2,0.25
300,300,300,evenly_split,41.98642746607462,41.55529427528381,7311893162.666667,7306192896.0,8,2,0.25
300,300,300,memaware,57.985510408878326,54.41248977184296,7011537237.333333,7335426048.0,12,0,0.0
300,300,400,auto,56.367676655451454,53.67425894737244,9018525013.333334,9014009856.0,6,3,0.5
300,300,400,evenly_split,54.806274016698204,54.79502892494202,8986947584.0,8986103808.0,6,3,0.5
300,300,400,memaware,119.86128679911296,116.30090582370758,2816364202.6666665,2487638016.0,12,0,0.0
300,400,100,auto,21.84976053237915,21.150006532669067,3522437120.0,3429969920.0,10,1,0.1
300,400,100,evenly_split,21.02830531862047,19.954827547073364,3508853418.6666665,3412594688.0,10,1,0.1
300,400,100,memaware,43.45467201868693,39.582958698272705,1905935360.0,1628346368.0,12,0,0.0
300,400,200,auto,38.53457796573639,38.92414438724518,6601401002.666667,6544832512.0,8,2,0.25
300,400,200,evenly_split,37.51588821411133,37.373204588890076,6530867200.0,6531481600.0,8,2,0.25
300,400,200,memaware,81.51531910896301,79.49491846561432,2370308778.6666665,2072969216.0,12,0,0.0
300,400,300,auto,55.19798421859741,55.06816625595093,9022552746.666666,9019060224.0,6,3,0.5
300,400,300,evenly_split,55.07661096254984,55.08239793777466,9011370666.666666,9012453376.0,6,3,0.5
300,400,300,memaware,122.03951954841614,111.271763920784,2825487701.3333335,2518052864.0,12,0,0.0
300,400,400,auto,73.77755363782246,73.45936560630798,9406641493.333334,9394110464.0,6,3,0.5
300,400,400,evenly_split,75.22477507591248,75.16555619239807,9428378965.333334,9428135936.0,6,3,0.5
300,400,400,memaware,158.95033568143845,146.59430599212646,3378330624.0,3065972736.0,12,0,0.0
400,100,100,auto,9.906117419401804,9.667651057243345,1617619968.0,1515960320.0,12,0,0.0
400,100,100,evenly_split,9.53596039613088,9.513131618499756,1598855850.6666667,1471653888.0,12,0,0.0
400,100,100,memaware,15.363945861657461,15.57495629787445,1355117568.0,1298089984.0,12,0,0.0
400,100,200,auto,15.289580424626669,15.315485715866089,2432806001.7777777,2369421312.0,10,1,0.1
400,100,200,evenly_split,15.508313390943739,15.685078859329224,2431779271.111111,2385944576.0,10,1,0.1
400,100,200,memaware,31.400627473990124,31.01326096057892,1731595946.6666667,1488074752.0,12,0,0.0
400,100,300,auto,22.416875892215305,22.93995213508606,3614304938.6666665,3668623360.0,10,1,0.1
400,100,300,evenly_split,21.123000171449448,20.32679557800293,3508029667.5555553,3428429824.0,10,1,0.1
400,100,300,memaware,42.88136154413223,41.37120223045349,1934795776.0,1675165696.0,12,0,0.0
400,100,400,auto,27.109091838200886,27.143973350524902,4395631274.666667,4399853568.0,8,2,0.25
400,100,400,evenly_split,26.574622829755146,26.139240622520447,4386749098.666667,4388763648.0,8,2,0.25
400,100,400,memaware,55.7669645746549,51.48311996459961,2067436544.0,1788563456.0,12,0,0.0
400,200,100,auto,15.03744093577067,14.744849681854248,2431932643.5555553,2396274688.0,10,1,0.1
400,200,100,evenly_split,15.011253939734566,14.59077501296997,2433230620.4444447,2370162688.0,10,1,0.1
400,200,100,memaware,31.241823931535084,30.967841863632202,1730152448.0,1388138496.0,12,0,0.0
400,200,200,auto,26.572713971138,26.521864771842957,4416154282.666667,4421382144.0,8,2,0.25
400,200,200,evenly_split,26.163885235786438,26.048773169517517,4407272106.666667,4408457216.0,8,2,0.25
400,200,200,memaware,41.471327563126884,32.5064662694931,3888384341.3333335,3802957824.0,12,0,0.0
400,200,300,auto,37.962787667910256,38.34832942485809,6518735530.666667,6530412544.0,8,2,0.25
400,200,300,evenly_split,38.12506918112437,38.42540633678436,6518093824.0,6516058112.0,8,2,0.25
400,200,300,memaware,83.67483713229497,80.28525924682617,2387358720.0,2103050240.0,12,0,0.0
400,200,400,auto,47.866619189580284,47.861401319503784,8564094293.333333,8566312960.0,6,3,0.5
400,200,400,evenly_split,47.87012767791748,47.47691512107849,8562365781.333333,8556822528.0,6,3,0.5
400,200,400,memaware,77.82642479737599,58.311206340789795,5204962986.666667,4791937024.0,12,0,0.0
400,300,100,auto,21.433231221305,20.666501760482788,3545377905.7777777,3558842368.0,10,1,0.1
400,300,100,evenly_split,21.172684907913208,20.29620933532715,3539826005.3333335,3422117888.0,10,1,0.1
400,300,100,memaware,43.995946407318115,41.82094371318817,1910043648.0,1619331072.0,12,0,0.0
400,300,200,auto,38.11722191174825,38.819536566734314,6529738752.0,6523535360.0,8,2,0.25
400,300,200,evenly_split,37.533151944478355,37.466731786727905,6530961408.0,6529966080.0,8,2,0.25
400,300,200,memaware,83.13847982883453,79.60224676132202,2381525674.6666665,2096193536.0,12,0,0.0
400,300,300,auto,54.63835072517395,54.57192540168762,9029596501.333334,9029971968.0,6,3,0.5
400,300,300,evenly_split,54.66464392344157,54.68721532821655,9004359680.0,9003839488.0,6,3,0.5
400,300,300,memaware,120.7251027226448,115.83870577812195,2831242581.3333335,2567952384.0,12,0,0.0
400,300,400,auto,74.97966122627258,75.2844934463501,9411831125.333334,9406062592.0,6,3,0.5
400,300,400,evenly_split,73.66272560755412,73.12861776351929,9402695680.0,9406464000.0,6,3,0.5
400,300,400,memaware,156.72757399082184,146.79241287708282,3315041621.3333335,3019505664.0,12,0,0.0
400,400,100,auto,26.08196024099986,25.628293871879578,4384977578.666667,4390875136.0,8,2,0.25
400,400,100,evenly_split,26.304625670115154,26.532211899757385,4451992917.333333,4402700288.0,8,2,0.25
400,400,100,memaware,57.49273979663849,55.615896105766296,2062725802.6666667,1801480192.0,12,0,0.0
400,400,200,auto,48.196019649505615,47.582260608673096,8541896704.0,8538562560.0,6,3,0.5
400,400,200,evenly_split,46.59489949544271,46.50907778739929,8555312469.333333,8549990400.0,6,3,0.5
400,400,200,memaware,80.6783762772878,61.96675634384155,5261798400.0,4788484096.0,12,0,0.0
400,400,300,auto,75.81420008341472,74.82256126403809,9415495680.0,9414672384.0,6,3,0.5
400,400,300,evenly_split,73.57522622744243,73.40919017791748,9396255402.666666,9390194688.0,6,3,0.5
400,400,300,memaware,157.5326867500941,147.3566004037857,3350253568.0,2997207040.0,12,0,0.0
400,400,400,auto,101.01501321792603,99.4770655632019,10744112469.333334,10750930944.0,6,3,0.5
400,400,400,evenly_split,100.62625519434611,99.40638279914856,10706875733.333334,10708414464.0,6,3,0.5
400,400,400,memaware,154.55907547473907,115.88964068889618,6987817984.0,6293712896.0,12,0,0.0
