inlines,xlines,samples,chunking_mode,worker_count,timestamp,session_id,random_id,execution_time_sec,peak_memory_usage_bytes,avg_memory_usage_bytes,oom_or_failed
100,200,100,evenly_split,8,1744675886,293412,293412,6.196777105331421,638054400.0,174801507.0967742,False
100,200,100,memaware,1,1744673866,547911,547911,7.171933174133301,426016768.0,244228915.2,False
100,200,100,memaware,1,1744673922,711239,711239,6.419386386871338,460582912.0,240714368.0,False
100,200,100,memaware,1,1744673978,217719,217719,6.412297487258911,458768384.0,242439168.0,False
100,200,100,memaware,2,1744674487,307337,307337,7.339852571487427,411172864.0,218276920.8888889,False
100,200,100,memaware,2,1744674541,571497,571497,7.393292665481567,409473024.0,214780079.54285714,False
100,200,100,memaware,2,1744674603,320583,320583,7.310103178024292,412909568.0,219810019.55555555,False
100,200,100,memaware,4,1744675204,775975,775975,8.003071546554565,405790720.0,187890051.45945945,False
100,200,100,memaware,4,1744675272,95166,95166,9.248605251312256,417128448.0,190357922.9090909,False
100,200,100,memaware,4,1744675337,172174,172174,9.410157442092896,411787264.0,191190607.64444444,False
100,200,100,memaware,8,1744676021,962173,962173,8.915793895721436,409112576.0,172574033.17073172,False
100,200,100,memaware,8,1744676110,215936,215936,8.949284076690674,410238976.0,173815283.80952382,False
100,200,100,memaware,8,1744676231,1152,1152,9.126341104507446,412622848.0,169237065.14285713,False
100,200,200,auto,1,1744676340,469315,469315,9.41346549987793,1173651456.0,554339987.9111111,False
100,200,200,auto,1,1744676399,579991,579991,8.096072673797607,1139326976.0,539658502.5641025,False
100,200,200,auto,1,1744676455,616709,616709,8.079106569290161,1141424128.0,539292593.2307693,False
100,200,200,auto,2,1744677049,573822,573822,9.690630435943604,1188257792.0,357053738.6666666,False
100,200,200,auto,2,1744677143,254348,254348,8.63631296157837,1189937152.0,346727066.7906977,False
100,200,200,auto,2,1744677212,811557,811557,8.652184963226318,1188704256.0,347441883.42857146,False
100,200,200,auto,4,1744677808,814762,814762,8.536649942398071,1150394368.0,258077071.6097561,False
100,200,200,auto,4,1744677871,66788,66788,8.295322895050049,1176805376.0,257156044.79999998,False
100,200,200,auto,4,1744677932,428384,428384,8.305500745773315,1176305664.0,254868929.5609756,False
100,200,200,auto,8,1744678554,807465,807465,11.500260829925537,1172103168.0,209051713.1636364,False
100,200,200,auto,8,1744678635,308772,308772,9.568614482879639,1163821056.0,208690921.73913044,False
100,200,200,auto,8,1744678746,403450,403450,9.609695672988892,1159487488.0,206355804.59574467,False
100,200,200,evenly_split,1,1744676551,501765,501765,8.564991235733032,1195196416.0,528636294.0952381,False
100,200,200,evenly_split,1,1744676603,913395,913395,9.201535940170288,1190633472.0,565244632.1777778,False
100,200,200,evenly_split,1,1744676715,748032,748032,7.981221914291382,1146261504.0,543588562.051282,False
100,200,200,evenly_split,2,1744677301,804538,804538,7.8560686111450195,1163042816.0,348453599.17948717,False
100,200,200,evenly_split,2,1744677355,727089,727089,9.202990770339966,1193623552.0,365206973.2173913,False
100,200,200,evenly_split,2,1744677444,687749,687749,8.61153244972229,1191497728.0,346104344.38095236,False
100,200,200,evenly_split,4,1744678039,331999,331999,8.43002700805664,1163407360.0,259175024.3902439,False
100,200,200,evenly_split,4,1744678111,759017,759017,8.399561643600464,1165721600.0,259536188.95238096,False
100,200,200,evenly_split,4,1744678174,78139,78139,9.841398000717163,1184604160.0,261730368.0,False
100,200,200,evenly_split,8,1744678855,82639,82639,10.23105001449585,1177645056.0,209016257.30612245,False
100,200,200,evenly_split,8,1744678931,636239,636239,11.460070371627808,1180192768.0,207933540.57142857,False
100,200,200,evenly_split,8,1744679037,202069,202069,9.57174038887024,1163890688.0,207621620.86956522,False
100,200,200,memaware,1,1744676818,45639,45639,12.25915265083313,505815040.0,294106968.13114756,False
100,200,200,memaware,1,1744676892,785606,785606,13.6974515914917,519045120.0,298070512.4848485,False
100,200,200,memaware,1,1744676950,367841,367841,14.15206789970398,478830592.0,295789137.6231884,False
100,200,200,memaware,2,1744677557,414202,414202,13.334562063217163,480346112.0,239726336.0,False
100,200,200,memaware,2,1744677623,370827,370827,15.66911005973816,512868352.0,262705807.36,False
100,200,200,memaware,2,1744677689,678909,678909,16.094175100326538,500416512.0,269832407.57894737,False
100,200,200,memaware,4,1744678273,757606,757606,14.974406242370605,439095296.0,227777586.36065573,False
100,200,200,memaware,4,1744678349,781475,781475,15.014693021774292,442429440.0,231513380.57142857,False
100,200,200,memaware,4,1744678424,113783,113783,14.88089370727539,441479168.0,209933361.5483871,False
100,200,200,memaware,8,1744679187,760027,760027,16.98774552345276,435527680.0,190624003.71014494,False
100,200,200,memaware,8,1744679273,50886,50886,20.507896900177002,441290752.0,183257713.7777778,False
100,200,200,memaware,8,1744679365,965399,965399,20.58734917640686,430563328.0,203852223.18987343,False
100,200,300,auto,1,1744679497,965412,965412,11.811171293258667,1717755904.0,814619405.9636364,False
100,200,300,auto,1,1744679559,505824,505824,10.718836545944214,1674969088.0,826867402.8679246,False
100,200,300,auto,1,1744679642,702089,702089,11.442552328109741,1702715392.0,808930806.6909091,False
100,200,300,auto,2,1744680255,344014,344014,12.940680980682373,1713225728.0,512337391.4838709,False
100,200,300,auto,2,1744680324,999858,999858,12.641204357147217,1703120896.0,515074954.4918033,False
100,200,300,auto,2,1744680390,568672,568672,11.97971487045288,1702084608.0,504242210.7118644,False
100,200,300,auto,4,1744680990,865919,865919,13.58919644355774,1686175744.0,325207536.4848485,False
100,200,300,auto,4,1744681059,687326,687326,12.555874586105347,1701994496.0,325906756.2666667,False
100,200,300,auto,4,1744681169,528998,528998,11.415731191635132,1716531200.0,331364736.0,False
100,200,300,auto,8,1744681896,74730,74730,16.311009645462036,1710530560.0,249464657.01265824,False
100,200,300,auto,8,1744681989,271038,271038,15.940059423446655,1708707840.0,247857263.58974358,False
100,200,300,auto,8,1744682121,689972,689972,16.80458116531372,1709957120.0,248420416.81012657,False
100,200,300,evenly_split,1,1744679753,184606,184606,11.360990285873413,1716789248.0,800883273.1428572,False
100,200,300,evenly_split,1,1744679812,866084,866084,11.330575704574585,1717997568.0,811616889.0181818,False
100,200,300,evenly_split,1,1744679911,339813,339813,11.262877225875854,1666744320.0,781586729.8909091,False
100,200,300,evenly_split,2,1744680491,466893,466893,10.636730909347534,1684029440.0,492528836.92307687,False
100,200,300,evenly_split,2,1744680559,640277,640277,11.951018571853638,1725628416.0,489193220.49122804,False
100,200,300,evenly_split,2,1744680622,945002,945002,11.937146186828613,1694666752.0,483007577.8245614,False
100,200,300,evenly_split,4,1744681269,384850,384850,11.52557373046875,1705590784.0,334994575.71929824,False
100,200,300,evenly_split,4,1744681413,213246,213246,13.375179529190063,1693618176.0,330676472.24242425,False
100,200,300,evenly_split,4,1744681488,610061,610061,11.418668746948242,1716920320.0,333919027.2,False
100,200,300,evenly_split,8,1744682250,973113,973113,13.277494430541992,1685643264.0,244719840.0,False
100,200,300,evenly_split,8,1744682329,527271,527271,13.918920278549194,1678733312.0,248394961.45454547,False
100,200,300,evenly_split,8,1744682454,376609,376609,13.457721710205078,1680003072.0,247099712.0,False
100,200,300,memaware,1,1744680028,281084,281084,16.9678373336792,591249408.0,371381951.2289157,False
100,200,300,memaware,1,1744680089,910779,910779,19.68778085708618,603389952.0,380866128.84210527,False
100,200,300,memaware,1,1744680159,721370,721370,18.59658408164978,618299392.0,373038229.5730337,False
100,200,300,memaware,2,1744680729,957301,957301,22.73690176010132,507949056.0,291562799.4074074,False
100,200,300,memaware,2,1744680800,553068,553068,19.430635929107666,514396160.0,286905104.34042555,False
100,200,300,memaware,2,1744680868,33465,33465,23.11812663078308,512548864.0,297465409.1636364,False
100,200,300,memaware,4,1744681611,600417,600417,21.933817625045776,469004288.0,244730168.58947366,False
100,200,300,memaware,4,1744681688,870602,870602,21.455512762069702,480018432.0,251864564.86956522,False
100,200,300,memaware,4,1744681766,609875,609875,25.318420886993408,460058624.0,256495337.63106796,False
100,200,300,memaware,8,1744682578,585888,585888,25.328688859939575,434536448.0,231157810.08695653,False
100,200,300,memaware,8,1744682672,980194,980194,29.413628578186035,433016832.0,235922284.990099,False
100,200,300,memaware,8,1744682773,995953,995953,29.41044569015503,435515392.0,220166971.07692307,False
100,200,400,auto,1,1744682906,168227,168227,16.16679549217224,2199781376.0,1153263077.0526316,False
100,200,400,auto,1,1744682977,778981,778981,15.553346872329712,2212044800.0,1158687151.1578948,False
100,200,400,auto,1,1744683049,499554,499554,14.999236583709717,2189586432.0,1123469620.6027398,False
100,200,400,auto,2,1744683744,168098,168098,15.758277654647827,2244022272.0,663795020.4675325,False
100,200,400,auto,2,1744683824,243259,243259,15.417266368865967,2208440320.0,654545360.2133334,False
100,200,400,auto,2,1744683887,825340,825340,15.697494506835938,2200018944.0,663168538.9473684,False
100,200,400,auto,4,1744684531,428731,428731,16.495277166366577,2202918912.0,406009984.0,False
100,200,400,auto,4,1744684601,550043,550043,16.10745596885681,2244116480.0,404371889.2307693,False
100,200,400,auto,4,1744684671,613227,613227,16.807437419891357,2244440064.0,413891204.7407407,False
100,200,400,auto,8,,,,,,,True
100,200,400,evenly_split,1,1744683171,205253,205253,14.081360816955566,2241310720.0,1086563135.0724638,False
100,200,400,evenly_split,1,1744683286,220081,220081,14.270184993743896,2219134976.0,1078673290.9714286,False
100,200,400,evenly_split,1,1744683349,967038,967038,14.655386924743652,2229551104.0,1111342535.1111112,False
100,200,400,evenly_split,2,1744683989,584774,584774,14.261478424072266,2222100480.0,623264855.7714286,False
100,200,400,evenly_split,2,1744684059,826008,826008,15.71412444114685,2236334080.0,657738446.1298702,False
100,200,400,evenly_split,2,1744684122,921990,921990,15.654978275299072,2260320256.0,657996485.9733334,False
100,200,400,evenly_split,4,1744684783,706196,706196,17.096697092056274,2223308800.0,408736768.0,False
100,200,400,evenly_split,4,1744684860,33641,33641,16.266168117523193,2257100800.0,401497633.2467533,False
100,200,400,evenly_split,4,1744684931,406061,406061,16.782686233520508,2204241920.0,408884261.46341467,False
100,200,400,evenly_split,8,,,,,,,True
100,200,400,memaware,1,1744683464,45513,45513,23.564840078353882,669704192.0,428035063.09565216,False
100,200,400,memaware,1,1744683533,466753,466753,24.426181077957153,657625088.0,418450553.4915254,False
100,200,400,memaware,1,1744683633,832310,832310,22.314746618270874,669859840.0,422826249.4814815,False
100,200,400,memaware,2,1744684248,76803,76803,30.38480305671692,550924288.0,313867652.4137931,False
100,200,400,memaware,2,1744684328,361316,361316,30.0231032371521,553394176.0,319849608.0559441,False
100,200,400,memaware,2,1744684412,874607,874607,29.674743175506592,570044416.0,315621996.1690141,False
100,200,400,memaware,4,1744685077,277199,277199,28.137401580810547,509464576.0,274432335.44827586,False
100,200,400,memaware,4,1744685168,965762,965762,28.01615071296692,506068992.0,274794950.12173915,False
100,200,400,memaware,4,1744685286,485392,485392,32.58184099197388,478851072.0,272360776.5970149,False
100,200,400,memaware,8,1744686285,372964,372964,32.798248291015625,435531776.0,260356147.66972476,False
100,200,400,memaware,8,1744686386,472608,472608,39.01455855369568,433242112.0,258642598.4,False
100,200,400,memaware,8,1744686501,517441,517441,32.93386197090149,443236352.0,247202992.87272727,False
100,300,100,auto,1,1744686640,543204,543204,7.569996356964111,914976768.0,396205637.1891892,False
100,300,100,auto,1,1744686692,335307,335307,7.666641712188721,913993728.0,404726622.31578946,False
100,300,100,auto,1,1744686744,576527,576527,7.52573561668396,870793216.0,396033937.2972973,False
100,300,100,auto,2,1744687318,355799,355799,6.517660617828369,928235520.0,284187306.6666667,False
100,300,100,auto,2,1744687373,649343,649343,7.4114670753479,881627136.0,284011215.5675676,False
100,300,100,auto,2,1744687429,650004,650004,7.595736265182495,876294144.0,286829595.6756757,False
100,300,100,auto,4,1744687999,927198,927198,6.840765714645386,898445312.0,221108615.52941176,False
