inlines,xlines,samples,worker_count,best_mode,best_time,memaware_diff
400,400,200,4,memaware,60.29401350021362,0.0%
400,400,200,8,memaware,146.12177681922913,0.0%
400,400,300,1,evenly_split,73.3950366973877,61.8%
400,400,300,2,memaware,138.64318799972534,0.0%
400,400,300,4,memaware,154.1747989654541,0.0%
400,400,300,8,memaware,215.0434970855713,0.0%
400,400,400,1,auto,98.87330722808838,0.1%
400,400,400,2,memaware,108.10051369667052,0.0%
400,400,400,4,memaware,120.05064535140993,0.0%
400,400,400,8,memaware,281.1131634712219,0.0%
