tool,step,memory_mb
traceq_tracemalloc,10,2471.9466440200804
traceq_tracemalloc,11,2471.9466440200804
traceq_tracemalloc,12,2471.9466440200804
traceq_tracemalloc,13,2471.9466440200804
traceq_tracemalloc,14,2471.9466440200804
traceq_tracemalloc,15,2471.9466440200804
traceq_tracemalloc,16,2471.9466440200804
traceq_tracemalloc,17,2471.9466440200804
traceq_tracemalloc,18,2471.9466440200804
traceq_tracemalloc,19,2471.9466440200804
traceq_tracemalloc,20,2471.9466440200804
traceq_tracemalloc,21,2471.9466440200804
traceq_tracemalloc,22,2471.9466440200804
traceq_tracemalloc,23,2471.9466440200804
traceq_tracemalloc,24,2471.9466440200804
traceq_tracemalloc,25,2471.9466440200804
traceq_tracemalloc,26,2471.9466440200804
traceq_tracemalloc,27,2471.9466440200804
traceq_tracemalloc,28,2471.9466440200804
traceq_tracemalloc,29,2471.9466440200804
traceq_tracemalloc,30,2471.9466440200804
traceq_tracemalloc,31,2471.9466440200804
traceq_tracemalloc,32,2471.9466440200804
traceq_tracemalloc,33,2471.9466440200804
traceq_tracemalloc,34,2471.9466440200804
traceq_tracemalloc,35,2471.9466440200804
traceq_tracemalloc,36,2471.9466440200804
traceq_tracemalloc,37,2471.9466440200804
traceq_tracemalloc,38,2471.9466440200804
traceq_tracemalloc,39,2471.9466440200804
traceq_tracemalloc,40,2471.9466440200804
traceq_tracemalloc,41,2471.9466440200804
traceq_tracemalloc,42,2471.9466440200804
traceq_tracemalloc,43,2471.9466440200804
traceq_tracemalloc,44,2471.9466440200804
traceq_tracemalloc,45,2471.9466440200804
traceq_tracemalloc,46,2471.9466440200804
traceq_tracemalloc,47,2471.9466440200804
traceq_tracemalloc,48,2471.9466440200804
traceq_tracemalloc,49,2471.9466440200804
traceq_tracemalloc,50,2471.9466440200804
traceq_tracemalloc,51,2801.550139808655
traceq_tracemalloc,52,3790.3606271743774
traceq_tracemalloc,53,3790.3606271743774
traceq_tracemalloc,54,4119.951622962952
traceq_tracemalloc,55,4119.9641229629515
traceq_tracemalloc,56,4119.9641229629515
traceq_tracemalloc,57,4119.9641229629515
traceq_tracemalloc,58,4119.9641229629515
traceq_tracemalloc,59,4449.54133605957
traceq_tracemalloc,60,5438.272995758057
traceq_tracemalloc,61,5438.272995758057
traceq_tracemalloc,62,5767.850218963623
traceq_tracemalloc,63,5767.850218963623
traceq_tracemalloc,64,5767.850218963623
traceq_tracemalloc,65,5767.850218963623
traceq_tracemalloc,66,5767.850218963623
traceq_tracemalloc,67,5767.850218963623
traceq_tracemalloc,68,5767.850218963623
traceq_tracemalloc,69,5767.850218963623
traceq_tracemalloc,70,5767.850218963623
traceq_tracemalloc,71,5767.850218963623
traceq_tracemalloc,72,5767.850218963623
